Company Name;Date;Ticker;Adj Close;Close value in reference period;Number of Records
Sourcefire;01.05.2013;FIRE;$6.57;;1
Symantec;01.05.2013;SYMC;$19.34;;1
VASCO;01.05.2013;VDSI;$10.22;;1
Sourcefire;02.05.2013;FIRE;$6.98;;1
Symantec;02.05.2013;SYMC;$19.45;;1
VASCO;02.05.2013;VDSI;$10.10;;1
Sourcefire;05.05.2013;FIRE;$6.73;;1
Symantec;05.05.2013;SYMC;$19.24;;1
VASCO;05.05.2013;VDSI;$10.04;;1
Sourcefire;06.05.2013;FIRE;$6.84;;1
Symantec;06.05.2013;SYMC;$19.91;;1
VASCO;06.05.2013;VDSI;$10.17;;1
Sourcefire;07.05.2013;FIRE;$6.59;;1
Symantec;07.05.2013;SYMC;$19.71;;1
VASCO;07.05.2013;VDSI;$10.82;;1
Sourcefire;08.05.2013;FIRE;$6.60;;1
Symantec;08.05.2013;SYMC;$19.83;;1
VASCO;08.05.2013;VDSI;$10.81;;1
Sourcefire;09.05.2013;FIRE;$6.69;;1
Symantec;09.05.2013;SYMC;$19.99;;1
VASCO;09.05.2013;VDSI;$11.24;;1
Sourcefire;12.05.2013;FIRE;$7.01;;1
Symantec;12.05.2013;SYMC;$20.10;;1
VASCO;12.05.2013;VDSI;$11.44;;1
Sourcefire;13.05.2013;FIRE;$7.01;;1
Symantec;13.05.2013;SYMC;$20.63;;1
VASCO;13.05.2013;VDSI;$11.88;;1
Sourcefire;14.05.2013;FIRE;$7.12;;1
Symantec;14.05.2013;SYMC;$20.59;;1
VASCO;14.05.2013;VDSI;$11.93;;1
Sourcefire;15.05.2013;FIRE;$6.99;;1
Symantec;15.05.2013;SYMC;$20.79;;1
VASCO;15.05.2013;VDSI;$12.05;;1
Sourcefire;16.05.2013;FIRE;$7.05;;1
Symantec;16.05.2013;SYMC;$20.76;;1
VASCO;16.05.2013;VDSI;$11.77;;1
Sourcefire;19.05.2013;FIRE;$7.01;;1
Symantec;19.05.2013;SYMC;$20.87;;1
VASCO;19.05.2013;VDSI;$11.64;;1
Sourcefire;20.05.2013;FIRE;$6.81;;1
Symantec;20.05.2013;SYMC;$20.59;;1
VASCO;20.05.2013;VDSI;$11.62;;1
Sourcefire;21.05.2013;FIRE;$6.81;;1
Symantec;21.05.2013;SYMC;$20.53;;1
VASCO;21.05.2013;VDSI;$11.20;;1
Sourcefire;22.05.2013;FIRE;$6.81;;1
Symantec;22.05.2013;SYMC;$20.82;;1
VASCO;22.05.2013;VDSI;$11.36;;1
Sourcefire;23.05.2013;FIRE;$6.65;;1
Symantec;23.05.2013;SYMC;$20.66;;1
VASCO;23.05.2013;VDSI;$11.11;;1
Sourcefire;27.05.2013;FIRE;$6.72;;1
Symantec;27.05.2013;SYMC;$21.20;;1
VASCO;27.05.2013;VDSI;$11.46;;1
Sourcefire;28.05.2013;FIRE;$6.63;;1
Symantec;28.05.2013;SYMC;$21.38;;1
VASCO;28.05.2013;VDSI;$11.56;;1
Sourcefire;29.05.2013;FIRE;$6.63;;1
Symantec;29.05.2013;SYMC;$21.52;;1
VASCO;29.05.2013;VDSI;$11.86;;1
Sourcefire;30.05.2013;FIRE;$7.64;;1
Symantec;30.05.2013;SYMC;$21.73;;1
VASCO;30.05.2013;VDSI;$12.96;;1
Sourcefire;02.06.2013;FIRE;$7.84;;1
Symantec;02.06.2013;SYMC;$20.96;;1
VASCO;02.06.2013;VDSI;$12.65;;1
Sourcefire;03.06.2013;FIRE;$7.95;;1
Symantec;03.06.2013;SYMC;$20.76;;1
VASCO;03.06.2013;VDSI;$12.65;;1
Sourcefire;04.06.2013;FIRE;$7.89;;1
Symantec;04.06.2013;SYMC;$21.11;;1
VASCO;04.06.2013;VDSI;$12.66;;1
Sourcefire;05.06.2013;FIRE;$7.95;;1
Symantec;05.06.2013;SYMC;$20.95;;1
VASCO;05.06.2013;VDSI;$13.22;;1
Sourcefire;06.06.2013;FIRE;$8.03;;1
Symantec;06.06.2013;SYMC;$20.21;;1
VASCO;06.06.2013;VDSI;$12.48;;1
Sourcefire;09.06.2013;FIRE;$8.06;;1
Symantec;09.06.2013;SYMC;$20.46;;1
VASCO;09.06.2013;VDSI;$11.93;;1
Sourcefire;10.06.2013;FIRE;$8.27;;1
Symantec;10.06.2013;SYMC;$20.30;;1
VASCO;10.06.2013;VDSI;$12.12;;1
Sourcefire;11.06.2013;FIRE;$8.24;;1
Symantec;11.06.2013;SYMC;$19.80;;1
VASCO;11.06.2013;VDSI;$11.49;;1
Sourcefire;12.06.2013;FIRE;$8.25;;1
Symantec;12.06.2013;SYMC;$19.94;;1
VASCO;12.06.2013;VDSI;$11.53;;1
Sourcefire;13.06.2013;FIRE;$8.17;;1
Symantec;13.06.2013;SYMC;$20.21;;1
VASCO;13.06.2013;VDSI;$11.96;;1
Sourcefire;16.06.2013;FIRE;$8.20;;1
Symantec;16.06.2013;SYMC;$20.25;;1
VASCO;16.06.2013;VDSI;$11.89;;1
Sourcefire;17.06.2013;FIRE;$8.06;;1
Symantec;17.06.2013;SYMC;$19.98;;1
VASCO;17.06.2013;VDSI;$11.84;;1
Sourcefire;18.06.2013;FIRE;$7.92;;1
Symantec;18.06.2013;SYMC;$19.71;;1
VASCO;18.06.2013;VDSI;$11.56;;1
Sourcefire;19.06.2013;FIRE;$8.05;;1
Symantec;19.06.2013;SYMC;$20.20;;1
VASCO;19.06.2013;VDSI;$11.75;;1
Sourcefire;20.06.2013;FIRE;$7.69;;1
Symantec;20.06.2013;SYMC;$19.37;;1
VASCO;20.06.2013;VDSI;$11.42;;1
Sourcefire;23.06.2013;FIRE;$7.63;;1
Symantec;23.06.2013;SYMC;$19.48;;1
VASCO;23.06.2013;VDSI;$11.27;;1
Sourcefire;24.06.2013;FIRE;$7.64;;1
Symantec;24.06.2013;SYMC;$19.47;;1
VASCO;24.06.2013;VDSI;$11.03;;1
Sourcefire;25.06.2013;FIRE;$8.09;;1
Symantec;25.06.2013;SYMC;$19.98;;1
VASCO;25.06.2013;VDSI;$11.28;;1
Sourcefire;26.06.2013;FIRE;$7.92;;1
Symantec;26.06.2013;SYMC;$19.59;;1
VASCO;26.06.2013;VDSI;$10.85;;1
Sourcefire;27.06.2013;FIRE;$7.50;;1
Symantec;27.06.2013;SYMC;$19.48;;1
VASCO;27.06.2013;VDSI;$10.69;;1
Sourcefire;30.06.2013;FIRE;$7.73;;1
Symantec;30.06.2013;SYMC;$19.35;;1
VASCO;30.06.2013;VDSI;$10.53;;1
Sourcefire;01.07.2013;FIRE;$7.60;;1
Symantec;01.07.2013;SYMC;$19.74;;1
VASCO;01.07.2013;VDSI;$10.80;;1
Sourcefire;02.07.2013;FIRE;$7.25;;1
Symantec;02.07.2013;SYMC;$19.54;;1
VASCO;02.07.2013;VDSI;$10.66;;1
Sourcefire;03.07.2013;FIRE;$7.25;;1
Symantec;03.07.2013;SYMC;$19.12;;1
VASCO;03.07.2013;VDSI;$10.23;;1
Sourcefire;07.07.2013;FIRE;$7.23;;1
Symantec;07.07.2013;SYMC;$19.13;;1
VASCO;07.07.2013;VDSI;$10.23;;1
Sourcefire;08.07.2013;FIRE;$7.23;;1
Symantec;08.07.2013;SYMC;$19.53;;1
VASCO;08.07.2013;VDSI;$10.58;;1
Sourcefire;09.07.2013;FIRE;$6.96;;1
Symantec;09.07.2013;SYMC;$18.85;;1
VASCO;09.07.2013;VDSI;$10.55;;1
Sourcefire;10.07.2013;FIRE;$6.88;;1
Symantec;10.07.2013;SYMC;$18.96;;1
VASCO;10.07.2013;VDSI;$10.76;;1
Sourcefire;11.07.2013;FIRE;$6.61;;1
Symantec;11.07.2013;SYMC;$18.82;;1
VASCO;11.07.2013;VDSI;$11.04;;1
Sourcefire;14.07.2013;FIRE;$6.77;;1
Symantec;14.07.2013;SYMC;$18.65;;1
VASCO;14.07.2013;VDSI;$10.55;;1
Sourcefire;15.07.2013;FIRE;$6.91;;1
Symantec;15.07.2013;SYMC;$18.59;;1
VASCO;15.07.2013;VDSI;$10.71;;1
Sourcefire;16.07.2013;FIRE;$7.50;;1
Symantec;16.07.2013;SYMC;$18.98;;1
VASCO;16.07.2013;VDSI;$11.37;;1
Sourcefire;17.07.2013;FIRE;$7.47;;1
Symantec;17.07.2013;SYMC;$19.10;;1
VASCO;17.07.2013;VDSI;$11.61;;1
Sourcefire;18.07.2013;FIRE;$7.27;;1
Symantec;18.07.2013;SYMC;$19.14;;1
VASCO;18.07.2013;VDSI;$11.87;;1
Sourcefire;21.07.2013;FIRE;$7.16;;1
Symantec;21.07.2013;SYMC;$18.98;;1
VASCO;21.07.2013;VDSI;$11.76;;1
Sourcefire;22.07.2013;FIRE;$7.36;;1
Symantec;22.07.2013;SYMC;$19.29;;1
VASCO;22.07.2013;VDSI;$11.59;;1
Sourcefire;23.07.2013;FIRE;$7.38;;1
Symantec;23.07.2013;SYMC;$19.65;;1
VASCO;23.07.2013;VDSI;$11.48;;1
Sourcefire;24.07.2013;FIRE;$7.58;;1
Symantec;24.07.2013;SYMC;$19.38;;1
VASCO;24.07.2013;VDSI;$13.40;;1
Sourcefire;25.07.2013;FIRE;$7.94;;1
Symantec;25.07.2013;SYMC;$19.45;;1
VASCO;25.07.2013;VDSI;$13.29;;1
Sourcefire;28.07.2013;FIRE;$7.77;;1
Symantec;28.07.2013;SYMC;$19.03;;1
VASCO;28.07.2013;VDSI;$13.70;;1
Sourcefire;29.07.2013;FIRE;$8.00;;1
Symantec;29.07.2013;SYMC;$19.67;;1
VASCO;29.07.2013;VDSI;$14.05;;1
Sourcefire;30.07.2013;FIRE;$8.00;;1
Symantec;30.07.2013;SYMC;$19.69;;1
VASCO;30.07.2013;VDSI;$14.14;;1
Sourcefire;31.07.2013;FIRE;$7.90;;1
Symantec;31.07.2013;SYMC;$21.07;;1
VASCO;31.07.2013;VDSI;$13.68;;1
Sourcefire;01.08.2013;FIRE;$7.27;;1
Symantec;01.08.2013;SYMC;$21.70;;1
VASCO;01.08.2013;VDSI;$13.56;;1
Sourcefire;04.08.2013;FIRE;$7.16;;1
Symantec;04.08.2013;SYMC;$21.50;;1
VASCO;04.08.2013;VDSI;$13.26;;1
Sourcefire;05.08.2013;FIRE;$7.10;;1
Symantec;05.08.2013;SYMC;$22.13;;1
VASCO;05.08.2013;VDSI;$13.51;;1
Sourcefire;06.08.2013;FIRE;$7.70;;1
Symantec;06.08.2013;SYMC;$22.25;;1
VASCO;06.08.2013;VDSI;$13.52;;1
Sourcefire;07.08.2013;FIRE;$7.89;;1
Symantec;07.08.2013;SYMC;$21.65;;1
VASCO;07.08.2013;VDSI;$13.18;;1
Sourcefire;08.08.2013;FIRE;$7.79;;1
Symantec;08.08.2013;SYMC;$21.98;;1
VASCO;08.08.2013;VDSI;$13.08;;1
Sourcefire;11.08.2013;FIRE;$7.91;;1
Symantec;11.08.2013;SYMC;$22.17;;1
VASCO;11.08.2013;VDSI;$13.25;;1
Sourcefire;12.08.2013;FIRE;$7.89;;1
Symantec;12.08.2013;SYMC;$21.89;;1
VASCO;12.08.2013;VDSI;$13.51;;1
Sourcefire;13.08.2013;FIRE;$7.85;;1
Symantec;13.08.2013;SYMC;$22.05;;1
VASCO;13.08.2013;VDSI;$13.83;;1
Sourcefire;14.08.2013;FIRE;$7.95;;1
